Name,Location,city,latitude,longitude,,1313
Best Western Plus Arena Hotel,1324 Atlantic Ave,Brooklyn,40.6783,-73.9486,,Best Western Plus Arena Hotel
Aloft New York Brooklyn,216 Duffield St,Brooklyn,40.6917,-73.9844,,Aloft New York Brooklyn
NU Hotel Brooklyn,85 Smith St,Brooklyn,40.6889,-73.989,,NU Hotel Brooklyn
Hotel BPM - Brooklyn New York,139 33rd street,Brooklyn,40.6565,-74.0035,,Hotel BPM - Brooklyn New York
McCarren Hotel & Pool,160 N 12th St,Brooklyn,40.721,-73.9554,,McCarren Hotel & Pool
"Union Hotel, an Ascend Hotel Collection Member",611 DeGraw St,Brooklyn,40.6791,-73.9832,,"Union Hotel, an Ascend Hotel Collection Member"
Holiday Inn Express Brooklyn,625 Union St,Brooklyn,40.678,-73.9845,,Holiday Inn Express Brooklyn
Hotel Le Bleu,370 Fourth Ave,Brooklyn,40.673,-73.9866,,Hotel Le Bleu
Condor Hotel,56 Franklin Ave,Brooklyn,40.6975,-73.9586,,Condor Hotel
Hotel Indigo BROOKLYN,229 Duffield St,Brooklyn,40.6912,-73.9844,,Hotel Indigo BROOKLYN
Sleep Inn Brooklyn Downtown,134 22nd St,Brooklyn,40.6631,-73.9978,,Sleep Inn Brooklyn Downtown
La Quinta Inn & Suites Brooklyn Downtown,533 3rd Ave,Brooklyn,40.6688,-73.9932,,La Quinta Inn & Suites Brooklyn Downtown
The Box House Hotel,77 Box Street,Brooklyn,40.7375,-73.9533,,The Box House Hotel
Hotel Le Jolie,235 Meeker Ave,Brooklyn,40.7164,-73.9508,,Hotel Le Jolie
Super 8 Brooklyn / Park Slope Hotel,267 3rd Ave,Brooklyn,40.6778,-73.9858,,Super 8 Brooklyn / Park Slope Hotel
Red Lion Inn and Suites Brooklyn,279 Butler St,Brooklyn,40.6813,-73.9849,,Red Lion Inn and Suites Brooklyn
Best Western Gregory Hotel,8315 4th Ave,Brooklyn,40.6245,-74.0277,,Best Western Gregory Hotel
Pointe Plaza Hotel,2 Franklin Ave,Brooklyn,40.6991,-73.959,,Pointe Plaza Hotel
International Students Residence,341 Broadway,Brooklyn,40.7078,-73.9562,,International Students Residence
Comfort Inn Red Hook,17 Seabring Street,Brooklyn,40.6802,-74.0058,,Comfort Inn Red Hook
"Brooklyn Way Hotel, BW Premier Collection",764 4th Ave,Brooklyn,40.66,-73.9987,,"Brooklyn Way Hotel, BW Premier Collection"
Fairfield Inn & Suites by Marriott New York Brooklyn,181 3rd Ave,Brooklyn,40.6806,-73.9839,,Fairfield Inn & Suites by Marriott New York Brooklyn
Galaxy Motel,860 Pennsylvania Avenue,Brooklyn,40.6568,-73.8894,,Galaxy Motel
Days Inn Brooklyn,437 39th Street,Brooklyn,40.652,-74.0052,,Days Inn Brooklyn
New York Marriott at the Brooklyn Bridge,333 Adams St,Brooklyn,40.6937,-73.9887,,New York Marriott at the Brooklyn Bridge
Red Carpet Inn New York City,980 Wyckoff Ave,Brooklyn,40.6959,-73.9047,,Red Carpet Inn New York City
Oasis Motel in Brooklyn,12091 Flatlands Ave,Brooklyn,40.6523,-73.8874,,Oasis Motel in Brooklyn
Lexington Inn - Brooklyn NY,2473 Atlantic Ave,Brooklyn,40.676,-73.9032,,Lexington Inn - Brooklyn NY
Sankofa Aban Bed and Breakfast,107 Macon Street,Brooklyn,40.6814,-73.947,,Sankofa Aban Bed and Breakfast
Lefferts Gardens Residence Bed and Breakfast,44 Rutland Road,Brooklyn,40.6589,-73.9591,,Lefferts Gardens Residence Bed and Breakfast
The Missing Lantern,1156 Dean St,Brooklyn,40.6769,-73.9513,,The Missing Lantern
Riviera Motor Inn Brooklyn,2969 Atlantic Ave,Brooklyn,40.6782,-73.8842,,Riviera Motor Inn Brooklyn
Brooklyn Motor Inn,140 Hamilton Ave,Brooklyn,40.6818,-74.0061,,Brooklyn Motor Inn
Henry Norman Hotel,251 North Henry Street,Brooklyn,40.728,-73.944,,Henry Norman Hotel
Hotel Lynx,1420 Atlantic Avenue,Brooklyn,40.6781,-73.945,,Hotel Lynx
Hampton Inn Brooklyn Downtown NY,125 Flatbush Avenue Extension,Brooklyn,40.6954,-73.9841,,Hampton Inn Brooklyn Downtown NY
Green Point YMCA,99 Meserole Avenue,Brooklyn,40.727,-73.9532,,Green Point YMCA
Comfort Inn Brooklyn City Center,599 Utica Ave,Brooklyn,40.6589,-73.9311,,Comfort Inn Brooklyn City Center
Bklyn House,9 Beaver Street,Brooklyn,40.7008,-73.9395,,Bklyn House
La Quinta Inn & Suites Brooklyn East,1412 Pitkin Ave,Brooklyn,40.6686,-73.922,,La Quinta Inn & Suites Brooklyn East
Oyo Bed & Breakfast,1390 Bedford Avenue,Brooklyn,40.6757,-73.9533,,Oyo Bed & Breakfast
Sumner Hotel,22 Sumner Place,Brooklyn,40.7009,-73.9406,,Sumner Hotel
Habitat 101,101 Sutton Street,Brooklyn,40.7265,-73.9408,,Habitat 101
Cesar Suites at New York South,381 S 3rd St,Brooklyn,40.7088,-73.9523,,Cesar Suites at New York South
Sleep Inn Prospect Park South,1118 36th St,Brooklyn,40.6442,-73.9877,,Sleep Inn Prospect Park South
Quality Inn,95 Chester Street,Brooklyn,40.6693,-73.9116,,Quality Inn
Americas Best Value Inn,1705 Linden Boulevard,Brooklyn,40.6574,-73.8993,,Americas Best Value Inn
The Brooklyn,1199 Atlantic Avenue,Brooklyn,40.6787,-73.9512,,The Brooklyn
Best Western Plus Brooklyn Bay Hotel,3003 Emmons Avenue,Brooklyn,40.584,-73.9382,,Best Western Plus Brooklyn Bay Hotel
Vacation Rental in New York,416 Van Siclen Avenue,Brooklyn,40.6693,-73.8895,,Vacation Rental in New York
Holiday Inn Brooklyn Downtown,300 Schermerhorn Road,Brooklyn,40.6876,-73.9825,,Holiday Inn Brooklyn Downtown
New York City Summer Dorms,"Conolly Hall, Long Island University",Brooklyn,40.6919,-73.9804,,New York City Summer Dorms
Dazzler Brooklyn,85 Flatbush Ave Extension,Brooklyn,40.6963,-73.9846,,Dazzler Brooklyn
Midwood Suites Brooklyn,1078 East 15 Street,Brooklyn,40.6233,-73.9611,,Midwood Suites Brooklyn
Comfort Inn Brooklyn,3218 Emmons Ave,Brooklyn,40.5842,-73.9324,,Comfort Inn Brooklyn
The William Vale Hotel,111 North 12th Street,Brooklyn,40.7224,-73.9573,,The William Vale Hotel
Sleep Inn Coney Island,2586 Stillwell Ave,Brooklyn,40.5846,-73.983,,Sleep Inn Coney Island
Wyndham Garden Brooklyn Sunset Park,457 39th Street,Brooklyn,40.6518,-74.0047,,Wyndham Garden Brooklyn Sunset Park
Hipster's Cove Bed & Breakfast,1300 Sterling Place,Brooklyn,40.6717,-73.9355,,Hipster's Cove Bed & Breakfast
EVEN Hotel Brooklyn,46 Nevins Street,Brooklyn,40.6875,-73.9817,,EVEN Hotel Brooklyn
Hilton Brooklyn New York,140 Schermerhorn Street,Brooklyn,40.6898,-73.9881,,Hilton Brooklyn New York
1 Hotel Brooklyn Bridge,60 Furman Street,Brooklyn,40.7016,-73.9955,,1 Hotel Brooklyn Bridge
The Justice Manor,154 Washington Ave,Brooklyn,40.6941,-73.967,,The Justice Manor
Your NYC Vacation,61 Jefferson Avenue,Brooklyn,40.6827,-73.9548,,Your NYC Vacation
Howard Johnson Brooklyn,524 Rockaway Avenue,Brooklyn,40.6671,-73.9104,,Howard Johnson Brooklyn
La Quinta Inn & Suites Brooklyn - Williamsburg,437 Union Avenue,Brooklyn,40.7132,-73.9515,,La Quinta Inn & Suites Brooklyn - Williamsburg
Franklin Guesthouse,214 Franklin Street,Brooklyn,40.7331,-73.9581,,Franklin Guesthouse
Bogart Hotel,19 Bogart Street,Brooklyn,40.7039,-73.9332,,Bogart Hotel
Hotel RL by Red Lion Brooklyn,1080 Broadway,Brooklyn,40.6943,-73.9311,,Hotel RL by Red Lion Brooklyn
La Quinta Inn & Suites Brooklyn Central,1229 Atlantic Avenue,Brooklyn,40.6786,-73.9502,,La Quinta Inn & Suites Brooklyn Central
Illumination Bed & Breakfast,138 Saint James Place,Brooklyn,40.6858,-73.9646,,Illumination Bed & Breakfast
Bright 3BR in Williamsburg by Sonder,Grand Street and Humboldt St,Brooklyn,40.7118,-73.9422,,Bright 3BR in Williamsburg by Sonder
Holiday Inn Express & Suites Buffalo Downtown,601 Main St,Buffalo,42.8902,-78.873,,Holiday Inn Express & Suites Buffalo Downtown
Best Western on the Avenue,510 Delaware Ave,Buffalo,42.8983,-78.8744,,Best Western on the Avenue
DoubleTree Club by Hilton Buffalo Downtown,125 High St,Buffalo,42.9003,-78.8646,,DoubleTree Club by Hilton Buffalo Downtown
Embassy Suites Buffalo,200 Delaware Avenue,Buffalo,42.8899,-78.877,,Embassy Suites Buffalo
Hampton Inn & Suites Buffalo Downtown,220 Delaware Ave,Buffalo,42.8905,-78.8769,,Hampton Inn & Suites Buffalo Downtown
Hotel @ The Lafayette,391 Washington St,Buffalo,42.8849,-78.8735,,Hotel @ The Lafayette
Hyatt Regency Buffalo / Hotel and Conference Center,Two Fountain Plaza,Buffalo,42.8886,-78.8746,,Hyatt Regency Buffalo / Hotel and Conference Center
The Mansion On Delaware Ave,414 Delaware Ave,Buffalo,42.8956,-78.8752,,The Mansion On Delaware Ave
Courtyard Buffalo Downtown / Canalside,"One Canalside, 125 Main Street",Buffalo,42.8777,-78.8759,,Courtyard Buffalo Downtown / Canalside
Lofts on Pearl,92 Pearl Street,Buffalo,42.8815,-78.877,,Lofts on Pearl
Adam's Mark Buffalo,120 Church St,Buffalo,42.8837,-78.8799,,Adam's Mark Buffalo
Hilton Garden Inn Buffalo Downtown,10 Lafayette Square,Buffalo,42.886,-78.8738,,Hilton Garden Inn Buffalo Downtown
Buffalo Marriott Harborcenter,95 Main St,Buffalo,42.8772,-78.8772,,Buffalo Marriott Harborcenter
The Westin Buffalo,250 Delaware Ave,Buffalo,42.8908,-78.8767,,The Westin Buffalo
Burdett House Bed & Breakfast,3789 Main Street,Burdett,42.4173,-76.8505,,Burdett House Bed & Breakfast
"Motel 6 Calcium, NY",8000 Virginia Smith Drive,Calcium,44.0337,-75.8417,,"Motel 6 Calcium, NY"
Villa Roma Resort and Conference Center,356 Villa Roma Rd,Callicoon,41.7623,-74.9758,,Villa Roma Resort and Conference Center
Econo Lodge Inn & Suites Canandaigua,4232 Route 5 and 20,Canandaigua,42.8696,-77.2345,,Econo Lodge Inn & Suites Canandaigua
Holiday Inn Express Canandaigua - Finger Lakes,330 Eastern Blvd.,Canandaigua,42.8764,-77.2498,,Holiday Inn Express Canandaigua - Finger Lakes
Chalet of Canandaigua,3770 State Route 21,Canandaigua,42.8438,-77.3143,,Chalet of Canandaigua
Onanda by the Lake,4926 West Lake Road,Canandaigua,42.7853,-77.314,,Onanda by the Lake
Super 8 Canandaigua,4450 Eastern Blvd,Canandaigua,42.8778,-77.2569,,Super 8 Canandaigua
Morgan Samuels Inn,2920 Smith Rd,Canandaigua,42.8903,-77.2314,,Morgan Samuels Inn
1837 Cobblestone Cottage,3402 West Lake Rd,Canandaigua,42.8635,-77.2816,,1837 Cobblestone Cottage
Bed and Breakfast at Oliver Phelps,252 North Main Street,Canandaigua,42.8955,-77.2873,,Bed and Breakfast at Oliver Phelps
The Bella Ella Bed & Breakfast,2300 Brickyard Rd,Canandaigua,42.9186,-77.3248,,The Bella Ella Bed & Breakfast
Filigree Inn Bed & Breakfast,5406 Bristol Valley Road Route 64,Canandaigua,42.7574,-77.4062,,Filigree Inn Bed & Breakfast
Days Inn Canastota/Syracuse,377 North Peterboro Street,Canastota,43.0893,-75.7511,,Days Inn Canastota/Syracuse
Best Western University Inn,90 E Main Street,Canton,44.5966,-75.1535,,Best Western University Inn
University Suites Hotel,6000 US 11,Canton,44.6014,-75.139,,University Suites Hotel
"Homewood Suites by Hilton Carle Place - Garden City, NY",40 Westbury Ave,Carle Place,40.7494,-73.6195,,"Homewood Suites by Hilton Carle Place - Garden City, NY"
Springhill Suites by Marriott Carle Place Garden City,20 Westbury Avenue,Carle Place,40.7493,-73.6204,,Springhill Suites by Marriott Carle Place Garden City
Pleasant Night Inn,30 N Broad St,Carthage,43.9725,-75.6268,,Pleasant Night Inn
Hampton Inn & Suites Cazenovia,25 Lakers Ln,Cazenovia,42.9257,-75.8408,,Hampton Inn & Suites Cazenovia
The Lincklaen House,79 Albany Street,Cazenovia,42.9302,-75.853,,The Lincklaen House
Chalet Inn & Suites Centerport,23 Centershore Road,Centerport,40.888,-73.3722,,Chalet Inn & Suites Centerport
Residence Inn Long Island Islip/Courthouse Complex,7 Courthouse Drive,Central Islip,40.7644,-73.1922,,Residence Inn Long Island Islip/Courthouse Complex
"Americas Best Value Inn, Central Valley",139 Route 32,Central Valley,41.3228,-74.1238,,"Americas Best Value Inn, Central Valley"
Hampton Inn Harriman Woodbury,60 Centre Dr,Central Valley,41.3155,-74.1283,,Hampton Inn Harriman Woodbury
Crabtree's Kittle House Restaurant & Inn,11 Kittle Road,Chappaqua,41.1816,-73.7454,,Crabtree's Kittle House Restaurant & Inn
Spencer Hotel,25 Palestine Avenue,Chautauqua,42.2078,-79.4664,,Spencer Hotel
Hampton Inn & Suites Buffalo Airport,133 Buell Avenue,Cheektowaga,42.9295,-78.7373,,Hampton Inn & Suites Buffalo Airport
Comfort Suites Buffalo Airport,901 Dick Rd,Cheektowaga,42.9267,-78.7427,,Comfort Suites Buffalo Airport
Sleep Inn & Suites Buffalo Airport,100 Holtz Dr,Cheektowaga,42.9369,-78.7175,,Sleep Inn & Suites Buffalo Airport
Best Western The Inn At Buffalo Airport,4630 Genesee St,Cheektowaga,42.9349,-78.7146,,Best Western The Inn At Buffalo Airport
Fairfield Inn & Suites by Marriott Buffalo Airport,4271 Genesee Street,Cheektowaga,42.9322,-78.7277,,Fairfield Inn & Suites by Marriott Buffalo Airport
Hilton Garden Inn Buffalo Airport,4201 Genesee St,Cheektowaga,42.9313,-78.7321,,Hilton Garden Inn Buffalo Airport
TownePlace Suites Buffalo Airport,4265 Genesee St,Cheektowaga,42.9304,-78.7291,,TownePlace Suites Buffalo Airport
Hampton Inn Buffalo-Airport / Galleria Mall,1745 Walden Ave,Cheektowaga,42.9086,-78.7727,,Hampton Inn Buffalo-Airport / Galleria Mall
Holiday Inn Express Hotel & Suites Buffalo-Airport,131 Buell Ave,Cheektowaga,42.9284,-78.7392,,Holiday Inn Express Hotel & Suites Buffalo-Airport
Holiday Inn Express Cheektowaga North East,83 Anderson Rd,Cheektowaga,42.9058,-78.7715,,Holiday Inn Express Cheektowaga North East
Homewood Suites by Hilton Buffalo Airport,760 Dick Rd,Cheektowaga,42.9244,-78.7419,,Homewood Suites by Hilton Buffalo Airport
Residence Inn by Marriott Buffalo Galleria Mall,107 Anderson Rd,Cheektowaga,42.9077,-78.7715,,Residence Inn by Marriott Buffalo Galleria Mall
Comfort Inn Cheektowaga,475 Dingens St,Cheektowaga,42.8777,-78.798,,Comfort Inn Cheektowaga
Best Western Plus Galleria Inn & Suites,601 Dingens St,Cheektowaga,42.8776,-78.7948,,Best Western Plus Galleria Inn & Suites
Days Hotel Buffalo Airport,4345 Genesee St,Cheektowaga,42.9326,-78.7257,,Days Hotel Buffalo Airport
Courtyard Buffalo Airport,4243 Genesee St,Cheektowaga,42.9319,-78.7296,,Courtyard Buffalo Airport
Quality Inn Buffalo Airport,4217 Genesee St,Cheektowaga,42.9317,-78.7303,,Quality Inn Buffalo Airport
Holiday Inn Buffalo - International Airport,4600 Genesee St,Cheektowaga,42.9346,-78.7159,,Holiday Inn Buffalo - International Airport
Millennium Buffalo,2040 Walden Ave,Cheektowaga,42.9085,-78.7604,,Millennium Buffalo
Oak Tree Inn Buffalo Airport,3475 Union Rd,Cheektowaga,42.9087,-78.7541,,Oak Tree Inn Buffalo Airport
Home2 Suites by Hilton Buffalo Airport / Galleria Mall,1999 Walden Avenue,Cheektowaga,42.9061,-78.7654,,Home2 Suites by Hilton Buffalo Airport / Galleria Mall
Aloft Buffalo Airport,4219 Genesee Street,Cheektowaga,42.9298,-78.7309,,Aloft Buffalo Airport
The Delavan Hotel & Spa,6461 Transit Road,Cheektowaga,42.9361,-78.6968,,The Delavan Hotel & Spa
Holiday Inn Express Hotel & Suites Chester,2 Bryle Place,Chester,41.356,-74.2842,,Holiday Inn Express Hotel & Suites Chester
The Fern Lodge,46 Fiddlehead Bay Rd,Chestertown,43.6255,-73.8495,,The Fern Lodge
Holiday Inn Express Hotel & Suites Syracuse North - Cicero,5860 Carmenica Dr,Cicero,43.1813,-76.1164,,Holiday Inn Express Hotel & Suites Syracuse North - Cicero
Comfort Suites Cicero - Syracuse North,5875 Carmenica Drive,Cicero,43.1814,-76.1148,,Comfort Suites Cicero - Syracuse North
Budget Inn - Syracuse Airport,901 S Bay Rd,Cicero,43.1438,-76.1157,,Budget Inn - Syracuse Airport
Asa Ransom House,10529 Main St Rte 5,Clarence,42.9804,-78.5953,,Asa Ransom House
Clarence Inn,9079 Main Steet,Clarence,42.9686,-78.6528,,Clarence Inn
Americas Best Value Inn & Suites - Clarence/Buffalo East,9370 Main St,Clarence,42.9711,-78.641,,Americas Best Value Inn & Suites - Clarence/Buffalo East
Blue Horizon Bed and Breakfast,60 Dinch Road,Claryville,41.9202,-74.5043,,Blue Horizon Bed and Breakfast
Hampton Inn Clifton Park,620 Plank Rd,Clifton Park,42.8657,-73.7776,,Hampton Inn Clifton Park
"Park Manor Hotel, an Ascend Hotel Collection Member",7 Northside Dr,Clifton Park,42.8642,-73.7714,,"Park Manor Hotel, an Ascend Hotel Collection Member"
Best Western Clifton Park,617 Plank Road,Clifton Park,42.8639,-73.7782,,Best Western Clifton Park
Hilton Garden Inn Clifton Park,30 Clifton Country Rd,Clifton Park,42.8584,-73.7805,,Hilton Garden Inn Clifton Park
Red Roof Inn Clifton Park,41 Old Rt 146,Clifton Park,42.8657,-73.7733,,Red Roof Inn Clifton Park
Holiday Inn Express Suites Clifton Park,18 Clifton Park Village Rd,Clifton Park,42.8678,-73.7731,,Holiday Inn Express Suites Clifton Park
Residence Inn Albany Clifton Park,1740 Route 9,Clifton Park,42.8695,-73.7736,,Residence Inn Albany Clifton Park
Homewood Suites by Hilton Clifton Park,42 Clifton Country Road,Clifton Park,42.8578,-73.781,,Homewood Suites by Hilton Clifton Park
Courtyard by Marriott Clifton Park,627 Plank Road,Clifton Park,42.8649,-73.7779,,Courtyard by Marriott Clifton Park
La Quinta Inn & Suites Clifton Park,1749 Route 9,Clifton Park,42.8714,-73.7739,,La Quinta Inn & Suites Clifton Park
Fairway Suites at Peek'n Peak,1433 Conway Road,Clymer,42.0623,-79.7256,,Fairway Suites at Peek'n Peak
Peek'N Peak Inn,1405 Olde Road,Clymer,42.0624,-79.7349,,Peek'N Peak Inn
Rodeway Inn and Suites,121 Burgin Drive,Cobleskill,42.6824,-74.4731,,Rodeway Inn and Suites
"Super 8 Cobleskill, NY",955 East Main Street,Cobleskill,42.6801,-74.4666,,"Super 8 Cobleskill, NY"
The Harbor Rose,253 Harbor Road (25A),Cold Spring Harbor,40.8603,-73.4624,,The Harbor Rose
Hampton Inn Long Island / Commack,680 Commack Road,Commack,40.8066,-73.2945,,Hampton Inn Long Island / Commack
Holiday Express Hotel & Suites Cooperstown,4758 State Highway 28,Cooperstown,42.6539,-74.9643,,Holiday Express Hotel & Suites Cooperstown
Best Western Cooperstown Inn & Suites,50 Commons Drive,Cooperstown,42.6499,-74.9644,,Best Western Cooperstown Inn & Suites
The Willow Tree Inn,3179 County Highway 33,Cooperstown,42.7662,-74.8371,,The Willow Tree Inn
Landmark Inn,64 Chestnut  Street,Cooperstown,42.6985,-74.9298,,Landmark Inn
Red Carpet Inn & Suites Cooperstown,4909 State Hwy 28,Cooperstown,42.6612,-74.9581,,Red Carpet Inn & Suites Cooperstown
Days Inn Long Island / Copiague,10 34th St,Copiague,40.6915,-73.3965,,Days Inn Long Island / Copiague
Econo Lodge Darien Lakes,8493 Route 77,Corfu,43.0007,-78.4058,,Econo Lodge Darien Lakes
Staybridge Suites Corning,201 Townley Ave,Corning,42.1543,-77.0547,,Staybridge Suites Corning
Radisson Hotel Corning,125 Denison Pkwy E,Corning,42.1418,-77.0493,,Radisson Hotel Corning
Comfort Inn Corning,66 W Pulteney St,Corning,42.1513,-77.0634,,Comfort Inn Corning
Fairfield Inn Marriott Corning,3 S Buffalo St,Corning,42.1532,-77.0789,,Fairfield Inn Marriott Corning
Budget Inn Corning,11385 LPGA Drive,Corning,42.1197,-77.0088,,Budget Inn Corning
Nel's Place,1897 Ranch Lane,Corning,42.0966,-77.0888,,Nel's Place
Cadet Motel,2582 US Highway 9W,Cornwall,41.4438,-74.0394,,Cadet Motel
Gavin's Irish Country Inn,118 Golden Hill Road,Cornwallville,42.3731,-74.106,,Gavin's Irish Country Inn
SpringHill Suites by Marriott New York LaGuardia Airport,112-15 Northern Boulevard,Corona,40.7582,-73.8574,,SpringHill Suites by Marriott New York LaGuardia Airport
Holiday Inn LaGuardia Airport,37-10 114th Street,Corona,40.7546,-73.8536,,Holiday Inn LaGuardia Airport
Best Western Plus LaGuardia Airport Hotel Queens,112-26 Roosevelt Avenue,Corona,40.7522,-73.8536,,Best Western Plus LaGuardia Airport Hotel Queens
Corona Hotel,112-23 Roosevelt Avenue,Corona,40.7524,-73.8538,,Corona Hotel
Ramada Cortland Hotel and Conference Center,2 River St,Cortland,42.6069,-76.167,,Ramada Cortland Hotel and Conference Center
Hope Lake Lodge & Indoor Waterpark,2000 NYS Rt. 392,Cortland,42.5158,-76.1438,,Hope Lake Lodge & Indoor Waterpark
Quality Inn Cortland,188 Clinton Ave,Cortland,42.6113,-76.1652,,Quality Inn Cortland
Holiday Inn Express Cortland,4.5 Locust Avenue,Cortland,42.6107,-76.1662,,Holiday Inn Express Cortland
"Country Inn & Suites By Carlson, Cortland",3707 Route 281,Cortland,42.5863,-76.2112,,"Country Inn & Suites By Carlson, Cortland"
Hampton Inn Cortland,26 River St,Cortland,42.6067,-76.1648,,Hampton Inn Cortland
Comfort Inn Cortland,2 And One Half Locust Ave,Cortland,42.6105,-76.1658,,Comfort Inn Cortland
Econo Lodge Cortland,10 Church St,Cortland,42.6012,-76.178,,Econo Lodge Cortland
Best Western Plus Finger Lakes Inn & Suites,3175 Fingerlake East Drive,Cortland,42.5614,-76.2268,,Best Western Plus Finger Lakes Inn & Suites
Imperial Motel,28 Port Watson St,Cortland,42.5978,-76.1787,,Imperial Motel
Red Roof Inn Cortland,2B River St,Cortland,42.607,-76.1656,,Red Roof Inn Cortland
Best Western New Baltimore Inn,12600 Rt 9W,Coxsackie,42.3884,-73.8319,,Best Western New Baltimore Inn
Holiday Inn Express Hotel & Suites West Coxsackie,12740 State Route 9 W,Coxsackie,42.3948,-73.8272,,Holiday Inn Express Hotel & Suites West Coxsackie
Econo Lodge Cuba,1 N Branch Road,Cuba,42.2262,-78.2716,,Econo Lodge Cuba
Econo Lodge DeWitt,3400 Erie Blvd E,DeWitt,43.0479,-76.0706,,Econo Lodge DeWitt
Olympian Resort Motel,3716 Lake Shore Dr,Diamond Point,43.4809,-73.6854,,Olympian Resort Motel
Best Western Dunkirk & Fredonia Inn,3912 Vineyard Drive,Dunkirk,42.4599,-79.3155,,Best Western Dunkirk & Fredonia Inn
Clarion Hotel & Conference Center,30 Lake Shore Dr E,Dunkirk,42.4876,-79.3339,,Clarion Hotel & Conference Center
Comfort Inn,3925 Vineyard Dr,Dunkirk,42.4588,-79.3158,,Comfort Inn
Adirondack Lodge Old Forge,2752 State Route 28,Eagle Bay,43.7018,-74.9926,,Adirondack Lodge Old Forge
Hampton Inn East Aurora,49 Olean St,East Aurora,42.7666,-78.608,,Hampton Inn East Aurora
Hampton Inn New York - LaGuardia Airport,102-40 Ditmars Blvd,East Elmhurst,40.7683,-73.8676,,Hampton Inn New York - LaGuardia Airport
LaGuardia Plaza Hotel,104-04 Ditmars Blvd,East Elmhurst,40.7677,-73.8666,,LaGuardia Plaza Hotel
New York LaGuardia Airport Marriott,102-05 Ditmars Boulevard,East Elmhurst,40.7684,-73.8676,,New York LaGuardia Airport Marriott
Airway Inn at LaGuardia,82-20 Astoria Blvd,East Elmhurst,40.7644,-73.887,,Airway Inn at LaGuardia
Comfort Inn LaGuardia Airport - 83rd St,2345 83rd St,East Elmhurst,40.7659,-73.8863,,Comfort Inn LaGuardia Airport - 83rd St
Courtyard New York LaGuardia Airport,9010 Ditmars Blvd,East Elmhurst,40.7693,-73.8803,,Courtyard New York LaGuardia Airport
The Landing at LaGuardia,9400 Ditmars Blvd,East Elmhurst,40.7691,-73.8763,,The Landing at LaGuardia
NYC Summer Dorms Queens,22-40 90th Street,East Elmhurst,40.7674,-73.8823,,NYC Summer Dorms Queens
Residence Inn by Marriott Albany East Greenbush/Tech Valley,3 Tech Valley Dr,East Greenbush,42.63,-73.6987,,Residence Inn by Marriott Albany East Greenbush/Tech Valley
Comfort Inn & Suites East Greenbush - Albany,99 Miller Rd,East Greenbush,42.5793,-73.6818,,Comfort Inn & Suites East Greenbush - Albany
Fairfield Inn by Marriott Albany East Greenbush,124 Troy Rd,East Greenbush,42.6257,-73.7002,,Fairfield Inn by Marriott Albany East Greenbush
Americas Best Value Inn-Albany / East Greenbush,576 Columbia Turnpike,East Greenbush,42.6011,-73.7124,,Americas Best Value Inn-Albany / East Greenbush
Hampton Inn & Suites Albany-East Greenbush,25 Hampton Inn Drive,East Greenbush,42.6242,-73.7009,,Hampton Inn & Suites Albany-East Greenbush
"East Norwich Inn-Oyster Bay, Long Island, NY",6321 Northern Blvd.,East Norwich,40.8424,-73.534,,"East Norwich Inn-Oyster Bay, Long Island, NY"
The Shearwater Inn,25 Josiah Foster Path,East Quogue,40.8477,-72.5684,,The Shearwater Inn
Cresthill Suites Syracuse,6410 New Venture Gear Dr,East Syracuse,43.0898,-76.0766,,Cresthill Suites Syracuse
Holiday Inn Express & Suites Dewitt (Syracuse),5908 Widewaters Pkwy,East Syracuse,43.0532,-76.0653,,Holiday Inn Express & Suites Dewitt (Syracuse)
DoubleTree by Hilton Syracuse,6301 Route 298,East Syracuse,43.0866,-76.0827,,DoubleTree by Hilton Syracuse
Ramada East Syracuse Carrier Circle,6555 Old Collamer Road S,East Syracuse,43.0896,-76.087,,Ramada East Syracuse Carrier Circle
Courtyard Syracuse Carrier Circle,6415 Yorktown Cir,East Syracuse,43.0913,-76.0872,,Courtyard Syracuse Carrier Circle
Springhill Suites by Marriott Syracuse Carrier Circle,6580 Weighlock Drive,East Syracuse,43.0894,-76.0802,,Springhill Suites by Marriott Syracuse Carrier Circle
Americas Best Value Inn East Syracuse,6608 Old Collamer Rd S.,East Syracuse,43.091,-76.0855,,Americas Best Value Inn East Syracuse
Hilton Garden Inn Syracuse,6004 Fair Lakes Rd,East Syracuse,43.0918,-76.073,,Hilton Garden Inn Syracuse
Quality Inn East Syracuse,6611 Old Collamer Rd South,East Syracuse,43.0915,-76.0856,,Quality Inn East Syracuse
Embassy Suites Syracuse,6646 Old Collamer Road South,East Syracuse,43.0925,-76.0847,,Embassy Suites Syracuse
East Syracuse Inn,6605 Old Collamer Rd S.,East Syracuse,43.0906,-76.0862,,East Syracuse Inn
Candlewood Suites East Syracuse - Carrier Circle,6550 Baptist Way,East Syracuse,43.0892,-76.0888,,Candlewood Suites East Syracuse - Carrier Circle
Extended Stay America - Syracuse - Dewitt,6630 Old Collamer Rd S.,East Syracuse,43.0918,-76.0851,,Extended Stay America - Syracuse - Dewitt
Residence Inn Syracuse Carrier Circle,6420 Yorktown Cir,East Syracuse,43.091,-76.0876,,Residence Inn Syracuse Carrier Circle
Motel 6 Syracuse,6577 Baptist Way,East Syracuse,43.0893,-76.0883,,Motel 6 Syracuse
