Name,Location,city,latitude,longitude,,1313
Heritage Hotel,18 West 25th Street,New York,40.7434,-73.99,,Heritage Hotel
Hyatt House New York/Chelsea,815 Ave of the Americas,New York,40.7462,-73.9904,,Hyatt House New York/Chelsea
Green Holidays Apartments,38 West 31st Street,New York,40.7473,-73.9878,,Green Holidays Apartments
Sago Hotel,120 Allen Street,New York,40.7195,-73.9901,,Sago Hotel
Executive Class at MTS Hotel,790 7th Ave.,New York,40.7619,-73.9827,,Executive Class at MTS Hotel
Cozy Studio,250 East 50th Street,New York,40.755,-73.9689,,Cozy Studio
Beautiful 1 Bedroom Apartment,953 Columbus Avenue,New York,40.7997,-73.9624,,Beautiful 1 Bedroom Apartment
New York Guest Suites,135 West 28th Street,New York,40.7467,-73.9922,,New York Guest Suites
Four Seasons New York Downtown,27 Barclay St,New York,40.7125,-74.0093,,Four Seasons New York Downtown
Four Points By Sheraton New York Downtown,6 Platt St,New York,40.7075,-74.0063,,Four Points By Sheraton New York Downtown
The Park Ave North,65 East 129th Street,New York,40.8078,-73.9377,,The Park Ave North
Arlo NoMad,11 East 31st Street,New York,40.7462,-73.9851,,Arlo NoMad
The Bernic Hotel,145 East 47th Street,New York,40.7542,-73.9728,,The Bernic Hotel
Raintree at The Manhattan Club,200 W 56th St,New York,40.765,-73.9809,,Raintree at The Manhattan Club
11 Howard,11 Howard Street,New York,40.7193,-74,,11 Howard
Green Acre,239 East 51st Street Apartment 1E,New York,40.7558,-73.9689,,Green Acre
"The Beekman, A Thompson Hotel",123 Nassau Street,New York,40.7114,-74.0067,,"The Beekman, A Thompson Hotel"
Amazing Studio in the Heart of Manhattan,17 East 67th Street,New York,40.7688,-73.9682,,Amazing Studio in the Heart of Manhattan
Renovated 2 BR Central Park,769-779 9th Avenue,New York,40.7647,-73.9881,,Renovated 2 BR Central Park
Beekman Tower by Bridgestreet,3 Mitchell Place,New York,40.7533,-73.9661,,Beekman Tower by Bridgestreet
Hello Apartments NYC,38 West 31st Street,New York,40.7472,-73.9878,,Hello Apartments NYC
DoubleTree by Hilton New York Times Square West,350 W 40th St,New York,40.7568,-73.993,,DoubleTree by Hilton New York Times Square West
Hotel 50 Bowery NYC,"50 Bowery, East Village",New York,40.7158,-73.9964,,Hotel 50 Bowery NYC
AKA Central Park,42 West 58th Street,New York,40.7645,-73.9756,,AKA Central Park
Hotel Richland New York,5 Allen Street,New York,40.7147,-73.9931,,Hotel Richland New York
Oakwood at The Nash,222 East 39th Street,New York,40.7484,-73.9747,,Oakwood at The Nash
AKA Wall Street,84 William Street,New York,40.708,-74.0078,,AKA Wall Street
Beautiful Studio near Central Park,943 Columbus Avenue,New York,40.7994,-73.9625,,Beautiful Studio Near Central Park
Four Points By Sheraton Manhattan Midtown West,446 10th Ave,New York,40.7551,-73.9987,,Four Points By Sheraton Manhattan Midtown West
Gansevoort Meatpacking,18 9th Avenue at 13th street,New York,40.7399,-74.0058,,Gansevoort Meatpacking
Crowne Plaza Midtown Manhattan,320 W 36th St,New York,40.7537,-73.9937,,Crowne Plaza Midtown Manhattan
Carnegie Hotel,160 W 56th St New York,New York,40.7667,-73.9808,,Carnegie Hotel
Broadway Hotel and Hostel,230 W 101st St,New York,40.798,-73.9699,,Broadway Hotel and Hostel
The Watson Hotel,440 West 57th Street,New York,40.7682,-73.9875,,The Watson Hotel
Astor on the Park,465 Central Park West,New York,40.7997,-73.9589,,Astor on the Park
Hotel Hayden,127 West 28th Street,New York,40.7466,-73.9918,,Hotel Hayden
Embassy Suites by Hilton New York Midtown Manhattan,60 West 37th Street,New York,40.7514,-73.9858,,Embassy Suites by Hilton New York Midtown Manhattan
Saint Nicholas Inn,154th Street,New York,40.8307,-73.943,,Saint Nicholas Inn
Hilton Garden Inn New York Times Square South,326 W 37th St,New York,40.7545,-73.9936,,Hilton Garden Inn New York Times Square South
Newark Garden Hotel,125 North Main Street,Newark,43.0481,-77.0953,,Newark Garden Hotel
Hudson Valley Hotel and Conference Center by Fairbridge,90 Rt. 17K,Newburgh,41.5056,-74.0738,,Hudson Valley Hotel and Conference Center by Fairbridge
Ramada Newburgh/West Point,1289 Route 300,Newburgh,41.5077,-74.0681,,Ramada Newburgh/West Point
Howard Johnson Inn - Newburgh,95 Route 17K,Newburgh,41.5054,-74.0733,,Howard Johnson Inn - Newburgh
Courtyard by Marriott Newburgh Stewart Airport,4 Governor Dr,Newburgh,41.5185,-74.1077,,Courtyard by Marriott Newburgh Stewart Airport
Four Points by Sheraton Newburgh Stewart Airport,5 Lakeside Rd,Newburgh,41.522,-74.1113,,Four Points by Sheraton Newburgh Stewart Airport
"Super 8 Newburgh - West Point, Stewart International Airport",1287 Route 300,Newburgh,41.5075,-74.0682,,"Super 8 Newburgh - West Point, Stewart International Airport"
Best Western Summit Inn,9500 Niagara Falls Blvd,Niagara Falls,43.0954,-78.9538,,Best Western Summit Inn
Hampton Inn Niagara Falls/Blvd,6501 Niagara Falls Blvd,Niagara Falls,43.0889,-78.9882,,Hampton Inn Niagara Falls/Blvd
Holiday Inn Express Hotel & Suites Niagara Falls,10111 Niagara Falls Blvd,Niagara Falls,43.0979,-78.9467,,Holiday Inn Express Hotel & Suites Niagara Falls
Super 8 Niagara Falls/Buffalo Area,7680 Niagara Falls Blvd,Niagara Falls,43.0883,-78.9763,,Super 8 Niagara Falls/Buffalo Area
Four Points by Sheraton Niagara Falls,7001 Buffalo Ave,Niagara Falls,43.0743,-78.9837,,Four Points by Sheraton Niagara Falls
Econo Lodge At The Falls North,5919 Niagara Falls Blvd,Niagara Falls,43.0903,-78.9963,,Econo Lodge At The Falls North
Moonlite Motel Niagara Falls,7811 Niagara Falls Blvd,Niagara Falls,43.0886,-78.9749,,Moonlite Motel Niagara Falls
Hampton Inn Niagara Falls,501 Rainbow Blvd,Niagara Falls,43.0835,-79.0559,,Hampton Inn Niagara Falls
Howard Johnson Closest to the Falls and Casino,454 Main St,Niagara Falls,43.0897,-79.0624,,Howard Johnson Closest to the Falls and Casino
The Red Coach Inn,2 Buffalo Ave,Niagara Falls,43.0842,-79.0634,,The Red Coach Inn
