Name,Location,city,latitude,longitude
Hyatt Regency Buffalo / Hotel and Conference Center,Two Fountain Plaza,Buffalo,42.8886,-78.8746
The Mansion On Delaware Ave,414 Delaware Ave,Buffalo,42.8956,-78.8752
Courtyard Buffalo Downtown / Canalside,"One Canalside, 125 Main Street",Buffalo,42.8777,-78.8759
Lofts on Pearl,92 Pearl Street,Buffalo,42.8815,-78.8770
Adam's Mark Buffalo,120 Church St,Buffalo,42.8837,-78.8799
Hilton Garden Inn Buffalo Downtown,10 Lafayette Square,Buffalo,42.8860,-78.8738
Buffalo Marriott Harborcenter,95 Main St,Buffalo,42.8772,-78.8772
The Westin Buffalo,250 Delaware Ave,Buffalo,42.8908,-78.8767
Burdett House Bed & Breakfast,3789 Main Street,Burdett,42.4173,-76.8505
"Motel 6 Calcium, NY",8000 Virginia Smith Drive,Calcium,44.0337,-75.8417
Villa Roma Resort and Conference Center,356 Villa Roma Rd,Callicoon,41.7623,-74.9758
Econo Lodge Inn & Suites Canandaigua,4232 Route 5 and 20,Canandaigua,42.8696,-77.2345
Holiday Inn Express Canandaigua - Finger Lakes,330 Eastern Blvd.,Canandaigua,42.8764,-77.2498
Chalet of Canandaigua,3770 State Route 21,Canandaigua,42.8438,-77.3143
Onanda by the Lake,4926 West Lake Road,Canandaigua,42.7853,-77.3140
Super 8 Canandaigua,4450 Eastern Blvd,Canandaigua,42.8778,-77.2569
Morgan Samuels Inn,2920 Smith Rd,Canandaigua,42.8903,-77.2314
1837 Cobblestone Cottage,3402 West Lake Rd,Canandaigua,42.8635,-77.2816
Bed and Breakfast at Oliver Phelps,252 North Main Street,Canandaigua,42.8955,-77.2873
The Bella Ella Bed & Breakfast,2300 Brickyard Rd,Canandaigua,42.9186,-77.3248
Filigree Inn Bed & Breakfast,5406 Bristol Valley Road Route 64,Canandaigua,42.7574,-77.4062
Days Inn Canastota/Syracuse,377 North Peterboro Street,Canastota,43.0893,-75.7511
Best Western University Inn,90 E Main Street,Canton,44.5966,-75.1535
University Suites Hotel,6000 US 11,Canton,44.6014,-75.1390
"Homewood Suites by Hilton Carle Place - Garden City, NY",40 Westbury Ave,Carle Place,40.7494,-73.6195
Springhill Suites by Marriott Carle Place Garden City,20 Westbury Avenue,Carle Place,40.7493,-73.6204
Pleasant Night Inn,30 N Broad St,Carthage,43.9725,-75.6268
Hampton Inn & Suites Cazenovia,25 Lakers Ln,Cazenovia,42.9257,-75.8408
The Lincklaen House,79 Albany Street,Cazenovia,42.9302,-75.8530
Chalet Inn & Suites Centerport,23 Centershore Road,Centerport,40.8880,-73.3722
Residence Inn Long Island Islip/Courthouse Complex,7 Courthouse Drive,Central Islip,40.7644,-73.1922
"Americas Best Value Inn, Central Valley",139 Route 32,Central Valley,41.3228,-74.1238
Hampton Inn Harriman Woodbury,60 Centre Dr,Central Valley,41.3155,-74.1283
Crabtree's Kittle House Restaurant & Inn,11 Kittle Road,Chappaqua,41.1816,-73.7454
Spencer Hotel,25 Palestine Avenue,Chautauqua,42.2078,-79.4664
Hampton Inn & Suites Buffalo Airport,133 Buell Avenue,Cheektowaga,42.9295,-78.7373
Comfort Suites Buffalo Airport,901 Dick Rd,Cheektowaga,42.9267,-78.7427
Sleep Inn & Suites Buffalo Airport,100 Holtz Dr,Cheektowaga,42.9369,-78.7175
Best Western The Inn At Buffalo Airport,4630 Genesee St,Cheektowaga,42.9349,-78.7146
Fairfield Inn & Suites by Marriott Buffalo Airport,4271 Genesee Street,Cheektowaga,42.9322,-78.7277
Hilton Garden Inn Buffalo Airport,4201 Genesee St,Cheektowaga,42.9313,-78.7321
TownePlace Suites Buffalo Airport,4265 Genesee St,Cheektowaga,42.9304,-78.7291
Hampton Inn Buffalo-Airport / Galleria Mall,1745 Walden Ave,Cheektowaga,42.9086,-78.7727
Holiday Inn Express Hotel & Suites Buffalo-Airport,131 Buell Ave,Cheektowaga,42.9284,-78.7392
Holiday Inn Express Cheektowaga North East,83 Anderson Rd,Cheektowaga,42.9058,-78.7715
Homewood Suites by Hilton Buffalo Airport,760 Dick Rd,Cheektowaga,42.9244,-78.7419
Residence Inn by Marriott Buffalo Galleria Mall,107 Anderson Rd,Cheektowaga,42.9077,-78.7715
Comfort Inn Cheektowaga,475 Dingens St,Cheektowaga,42.8777,-78.7980
Best Western Plus Galleria Inn & Suites,601 Dingens St,Cheektowaga,42.8776,-78.7948
Days Hotel Buffalo Airport,4345 Genesee St,Cheektowaga,42.9326,-78.7257
Courtyard Buffalo Airport,4243 Genesee St,Cheektowaga,42.9319,-78.7296
Quality Inn Buffalo Airport,4217 Genesee St,Cheektowaga,42.9317,-78.7303
Holiday Inn Buffalo - International Airport,4600 Genesee St,Cheektowaga,42.9346,-78.7159
Millennium Buffalo,2040 Walden Ave,Cheektowaga,42.9085,-78.7604
Oak Tree Inn Buffalo Airport,3475 Union Rd,Cheektowaga,42.9087,-78.7541
Home2 Suites by Hilton Buffalo Airport / Galleria Mall,1999 Walden Avenue,Cheektowaga,42.9061,-78.7654
Aloft Buffalo Airport,4219 Genesee Street,Cheektowaga,42.9298,-78.7309
The Delavan Hotel & Spa,6461 Transit Road,Cheektowaga,42.9361,-78.6968
Holiday Inn Express Hotel & Suites Chester,2 Bryle Place,Chester,41.3560,-74.2842
The Fern Lodge,46 Fiddlehead Bay Rd,Chestertown,43.6255,-73.8495
Holiday Inn Express Hotel & Suites Syracuse North - Cicero,5860 Carmenica Dr,Cicero,43.1813,-76.1164
Comfort Suites Cicero - Syracuse North,5875 Carmenica Drive,Cicero,43.1814,-76.1148
Budget Inn - Syracuse Airport,901 S Bay Rd,Cicero,43.1438,-76.1157
Asa Ransom House,10529 Main St Rte 5,Clarence,42.9804,-78.5953
Clarence Inn,9079 Main Steet,Clarence,42.9686,-78.6528
Americas Best Value Inn & Suites - Clarence/Buffalo East,9370 Main St,Clarence,42.9711,-78.6410
Blue Horizon Bed and Breakfast,60 Dinch Road,Claryville,41.9202,-74.5043
Hampton Inn Clifton Park,620 Plank Rd,Clifton Park,42.8657,-73.7776
"Park Manor Hotel, an Ascend Hotel Collection Member",7 Northside Dr,Clifton Park,42.8642,-73.7714
Best Western Clifton Park,617 Plank Road,Clifton Park,42.8639,-73.7782
Hilton Garden Inn Clifton Park,30 Clifton Country Rd,Clifton Park,42.8584,-73.7805
Red Roof Inn Clifton Park,41 Old Rt 146,Clifton Park,42.8657,-73.7733
Holiday Inn Express Suites Clifton Park,18 Clifton Park Village Rd,Clifton Park,42.8678,-73.7731
Residence Inn Albany Clifton Park,1740 Route 9,Clifton Park,42.8695,-73.7736
Homewood Suites by Hilton Clifton Park,42 Clifton Country Road,Clifton Park,42.8578,-73.7810
Courtyard by Marriott Clifton Park,627 Plank Road,Clifton Park,42.8649,-73.7779
La Quinta Inn & Suites Clifton Park,1749 Route 9,Clifton Park,42.8714,-73.7739
