Name,Location,Latitude,Longitude
Central Park (Wollman Rink),Center Drive to East Drive (including Gapstow Bridge),40.7669,-73.9738
Central Park Delacorte Comfort Station,Mid-Park at 80th Street,37.4919,-86.2799
Century Playground,Brighton Beach Avenue & West 2 Street,40.5903,-73.9721
Challenge Playground (PS 187) 251 Street Playground,251 Street & 63 Avenue,11.5272,104.8784
Chelsea Park,West 27 Street & 9 Avenue,40.7446,-73.9890
Chelsea Recreation Center,"South of West 25 Street, 9 to 10 avenues",40.7434,-73.9896
Cherry Tree (Washington) Playground,"99 to 100 streets, 3 Avenue",40.8328,-73.9051
Chester Playground,"Chester Street, Sutter Avenue",40.6670,-73.9110
Ciccarone Park Playground,"Arthur Avenue, East 188 Street",40.8564,-73.8868
Claremont Park,Mount Eden Parkway & Morris Avenue,40.8431,-73.9095
Claremont Park Playground,E 170 Street & Teller Avenue,40.8371,-73.9096
Clark Playground,"3 Avenue, East 144 Street, East 146 Street",40.8138,-73.9221
Clement Clark Moore Park,Broadway & 83 Street,40.7865,-73.9782
Col. Charles Young Playground,West 144 Street & Lenox Avenue,40.8197,-73.9367
Col. David Marcus Memorial Playground,"Ocean Parkway, Avenue P, East 3 Street",40.6094,-73.9677
Colucci Playground,"Hutchinson River Parkway, Wilkinson Avenue, Mayflower Avenue",40.9238,-73.7878
Columbus Park,"Adams, Johnson, Fulton, Joralemon streets",40.6930,-73.9942
Com. John Barry Park & Playground,South of Flushing Avenue,40.7021,-73.9363
Com. John Barry Park & Playground,South of Flushing Avenue,40.7021,-73.9363
Com. John Barry Park & Playground (Athletic Area),South of Flushing Avenue,40.7021,-73.9363
Comm. Eugene S. Sarsfield Playground,"East 38 Street & Ryder Street, Avenue M",40.6206,-73.9370
Coney Island,Brighton 2nd,40.5769,-73.9651
Coney Island,W 33 St.,40.7521,-73.9954
Coney Island Beach,Corbin Place to Coney Island Avenue,40.6136,-73.9631
Coney Island Beach,Stillwell Avenue,40.5908,-73.9841
Coney Island Beach,West 16th Street,41.4515,-81.6922
Conference House Park,"Pittsville St,Hylan Blvd.,Surf,Richard Aves",38.3954,-75.4130
Cooper Park,"Sharon, Olive streets, Maspeth & Morgan avenues",40.7294,-73.9066
Crocheron Park Field House,"34th Avenue, 214th Place, 34th Road, 214th Lane, 35th Avenue, & 216th Street",40.7527,-73.9947
Crotona Park (Playground of the Stars),Fulton Avenue & Crotona Park South,40.8355,-73.9013
Crotona Park (Pool House),173rd Street and Fulton Avenue,40.8407,-73.8983
Crotona Park Environmental Center,"Crotona Park North, Crotona Park South, Crotona Park East, Fulton Avenue",40.8365,-73.8934
Crowley Playground,57 Avenue & 83 Street,25.6943,-80.2850
Cunningham Park,"Union Turnpike, Clearview Expressway, 73rd Avenue, Francis Lewis Boulevard",40.7363,-73.7728
Cunningham Park (HQ8),"South of Union Turnpike, between Francis Lewis Boulevard & 193rd Street",40.7241,-73.7639
Daniel M. O'Connell Playground,113 Avenue & 196 Street,25.5846,-80.3746
Detective Keith L. Williams Park,"106 Avenue, 173 Street, Liberty Avenue, 172 Street",40.6733,-73.9039
Devoe Park,"West Fordham Road, University Avenue, Sedgwick Avenue, Father Zeiser Place",40.8604,-73.9115
Digilio Playground,McDonald Avenue & Avenue F,-23.9116,29.4929
Ditmars Park Playground,23 Avenue to Ditmars Boulevard,40.7690,-73.8893
Downing Street Playground,"Downing to Carmine streets, Avenue of the Americas",40.7305,-74.0017
Dr. Charles R. Drew Memorial Park,"Van Wyck Expressway, 116 Avenue, 140 Street, 115 Avenue",40.7007,-73.8151
